metodo,query,esperado,top1,top3,top5_scores,acerto_top1,hit_at_3,mrr
Sentence-BERT,quero desenvolver modelos de machine learning para produtos reais,ml_engineer,ml_engineer,ml_engineer|ai_researcher|mlops_engineer,ml_engineer:0.6300|ai_researcher:0.5900|mlops_engineer:0.5479|data_scientist:0.5396|nlp_engineer:0.5271,1,1,1.0
TF-IDF,quero desenvolver modelos de machine learning para produtos reais,ml_engineer,mlops_engineer,mlops_engineer|ml_engineer|deep_learning_engineer,mlops_engineer:0.2881|ml_engineer:0.1300|deep_learning_engineer:0.0835|data_engineer:0.0603|nlp_engineer:0.0577,0,1,0.5
Sentence-BERT,"tenho interesse em chatbots, busca semantica e modelos de linguagem",nlp_engineer,nlp_engineer,nlp_engineer|robotics_engineer|ai_researcher,nlp_engineer:0.6888|robotics_engineer:0.4903|ai_researcher:0.4742|ml_engineer:0.4689|computer_vision_scientist:0.4545,1,1,1.0
TF-IDF,"tenho interesse em chatbots, busca semantica e modelos de linguagem",nlp_engineer,nlp_engineer,nlp_engineer|mlops_engineer|ml_engineer,nlp_engineer:0.4308|mlops_engineer:0.1144|ml_engineer:0.0981|deep_learning_engineer:0.0821|ai_researcher:0.0642,1,1,1.0
Sentence-BERT,"quero construir pipelines de dados, ETL e data warehouses",data_engineer,data_engineer,data_engineer|backend_developer|database_administrator,data_engineer:0.7811|backend_developer:0.5493|database_administrator:0.5208|ml_engineer:0.4657|bi_analyst:0.4558,1,1,1.0
TF-IDF,"quero construir pipelines de dados, ETL e data warehouses",data_engineer,data_engineer,data_engineer|bi_analyst|database_administrator,data_engineer:0.3877|bi_analyst:0.1637|database_administrator:0.1151|data_scientist:0.1114|data_analyst:0.0985,1,1,1.0
Sentence-BERT,"gosto de arquitetura de software, testes automatizados e manutencao de sistemas",software_engineer,software_engineer,software_engineer|backend_developer|mlops_engineer,software_engineer:0.6486|backend_developer:0.6108|mlops_engineer:0.5105|algorithms_specialist:0.5054|database_administrator:0.4869,1,1,1.0
TF-IDF,"gosto de arquitetura de software, testes automatizados e manutencao de sistemas",software_engineer,software_engineer,software_engineer|backend_developer|robotics_engineer,software_engineer:0.4233|backend_developer:0.3314|robotics_engineer:0.1323|control_engineer:0.1265|pattern_recognition_engineer:0.1124,1,1,1.0
Sentence-BERT,quero trabalhar com deteccao de objetos em imagens e videos,computer_vision_scientist,computer_vision_scientist,computer_vision_scientist|robotics_engineer|data_analyst,computer_vision_scientist:0.6718|robotics_engineer:0.4821|data_analyst:0.4517|software_engineer:0.4388|pattern_recognition_engineer:0.4206,1,1,1.0
TF-IDF,quero trabalhar com deteccao de objetos em imagens e videos,computer_vision_scientist,computer_vision_scientist,computer_vision_scientist|data_mining_specialist|software_engineer,computer_vision_scientist:0.4178|data_mining_specialist:0.1525|software_engineer:0.0757|optimization_engineer:0.0560|backend_developer:0.0440,1,1,1.0
Sentence-BERT,quero pesquisar novos algoritmos de inteligencia artificial e escrever artigos,ai_researcher,ai_researcher,ai_researcher|algorithms_specialist|ml_engineer,ai_researcher:0.7449|algorithms_specialist:0.5542|ml_engineer:0.4987|robotics_engineer:0.4753|nlp_engineer:0.4703,1,1,1.0
TF-IDF,quero pesquisar novos algoritmos de inteligencia artificial e escrever artigos,ai_researcher,ai_researcher,ai_researcher|algorithms_specialist|robotics_engineer,ai_researcher:0.3997|algorithms_specialist:0.1889|robotics_engineer:0.1135|software_engineer:0.0469|optimization_engineer:0.0433,1,1,1.0
Sentence-BERT,quero descobrir padroes em grandes bases de dados e segmentar usuarios,data_mining_specialist,data_mining_specialist,data_mining_specialist|data_engineer|database_administrator,data_mining_specialist:0.6526|data_engineer:0.5673|database_administrator:0.5583|data_analyst:0.5544|bi_analyst:0.5221,1,1,1.0
TF-IDF,quero descobrir padroes em grandes bases de dados e segmentar usuarios,data_mining_specialist,data_mining_specialist,data_mining_specialist|pattern_recognition_engineer|data_engineer,data_mining_specialist:0.3171|pattern_recognition_engineer:0.1411|data_engineer:0.1055|database_administrator:0.1015|data_scientist:0.0982,1,1,1.0
Sentence-BERT,"tenho interesse em colocar modelos em producao, monitorar drift e automatizar deploy",mlops_engineer,mlops_engineer,mlops_engineer|control_engineer|ml_engineer,mlops_engineer:0.7051|control_engineer:0.5483|ml_engineer:0.5461|data_engineer:0.5250|backend_developer:0.5139,1,1,1.0
TF-IDF,"tenho interesse em colocar modelos em producao, monitorar drift e automatizar deploy",mlops_engineer,mlops_engineer,mlops_engineer|ml_engineer|control_engineer,mlops_engineer:0.2599|ml_engineer:0.2027|control_engineer:0.0953|deep_learning_engineer:0.0727|signal_processing_engineer:0.0479,1,1,1.0
Sentence-BERT,"quero criar dashboards, indicadores de negocio e relatorios para gestao",bi_analyst,bi_analyst,bi_analyst|data_analyst|data_engineer,bi_analyst:0.6239|data_analyst:0.5022|data_engineer:0.4225|pattern_recognition_engineer:0.4224|database_administrator:0.4188,1,1,1.0
TF-IDF,"quero criar dashboards, indicadores de negocio e relatorios para gestao",bi_analyst,bi_analyst,bi_analyst|data_analyst|data_scientist,bi_analyst:0.2911|data_analyst:0.1577|data_scientist:0.0393|data_engineer:0.0362|computer_vision_scientist:0.0342,1,1,1.0
Sentence-BERT,"gosto de inferencia estatistica, probabilidade e planejamento de experimentos",statistician,data_scientist,data_scientist|data_analyst|statistician,data_scientist:0.6452|data_analyst:0.5544|statistician:0.5414|ai_researcher:0.5404|ml_engineer:0.5051,0,1,0.3333333333333333
TF-IDF,"gosto de inferencia estatistica, probabilidade e planejamento de experimentos",statistician,statistician,statistician|data_scientist|robotics_engineer,statistician:0.3051|data_scientist:0.2034|robotics_engineer:0.1892|data_analyst:0.0745|data_mining_specialist:0.0651,1,1,1.0
Sentence-BERT,"quero administrar bancos de dados, otimizar consultas e cuidar de disponibilidade",database_administrator,database_administrator,database_administrator|backend_developer|data_engineer,database_administrator:0.7354|backend_developer:0.6211|data_engineer:0.6181|data_analyst:0.5880|bi_analyst:0.5693,1,1,1.0
TF-IDF,"quero administrar bancos de dados, otimizar consultas e cuidar de disponibilidade",database_administrator,database_administrator,database_administrator|data_engineer|backend_developer,database_administrator:0.4737|data_engineer:0.3299|backend_developer:0.2787|bi_analyst:0.2042|data_scientist:0.2013,1,1,1.0
Sentence-BERT,"quero programar robos com sensores, atuadores e navegacao autonoma",robotics_engineer,robotics_engineer,robotics_engineer|computer_vision_scientist|ai_researcher,robotics_engineer:0.6979|computer_vision_scientist:0.5298|ai_researcher:0.4915|nlp_engineer:0.4914|ml_engineer:0.4777,1,1,1.0
TF-IDF,"quero programar robos com sensores, atuadores e navegacao autonoma",robotics_engineer,robotics_engineer,robotics_engineer|statistician|optimization_engineer,robotics_engineer:0.2690|statistician:0.0290|optimization_engineer:0.0250|decision_analyst:0.0235|data_analyst:0.0000,1,1,1.0
Sentence-BERT,"tenho interesse em filtros, sinais no dominio da frequencia e processamento digital",signal_processing_engineer,signal_processing_engineer,signal_processing_engineer|computer_vision_scientist|pattern_recognition_engineer,signal_processing_engineer:0.7423|computer_vision_scientist:0.4292|pattern_recognition_engineer:0.4104|data_analyst:0.3918|ml_engineer:0.3775,1,1,1.0
TF-IDF,"tenho interesse em filtros, sinais no dominio da frequencia e processamento digital",signal_processing_engineer,signal_processing_engineer,signal_processing_engineer|decision_analyst|computer_vision_scientist,signal_processing_engineer:0.3886|decision_analyst:0.0939|computer_vision_scientist:0.0927|control_engineer:0.0836|ml_engineer:0.0448,1,1,1.0
Sentence-BERT,quero projetar controladores para sistemas dinamicos e automacao industrial,control_engineer,control_engineer,control_engineer|robotics_engineer|mlops_engineer,control_engineer:0.6494|robotics_engineer:0.6290|mlops_engineer:0.5326|nlp_engineer:0.4908|computer_vision_scientist:0.4727,1,1,1.0
TF-IDF,quero projetar controladores para sistemas dinamicos e automacao industrial,control_engineer,control_engineer,control_engineer|robotics_engineer|signal_processing_engineer,control_engineer:0.3197|robotics_engineer:0.1213|signal_processing_engineer:0.0924|mlops_engineer:0.0525|computer_vision_scientist:0.0277,1,1,1.0
Sentence-BERT,"quero otimizar rotas, alocacao de recursos e problemas de logistica",operations_research_analyst,operations_research_analyst,operations_research_analyst|software_engineer|algorithms_specialist,operations_research_analyst:0.6043|software_engineer:0.4837|algorithms_specialist:0.4820|data_engineer:0.4759|backend_developer:0.4666,1,1,1.0
TF-IDF,"quero otimizar rotas, alocacao de recursos e problemas de logistica",operations_research_analyst,operations_research_analyst,operations_research_analyst|optimization_engineer|data_mining_specialist,operations_research_analyst:0.4697|optimization_engineer:0.0880|data_mining_specialist:0.0589|algorithms_specialist:0.0586|decision_analyst:0.0565,1,1,1.0
Sentence-BERT,"gosto de tomada de decisao, analise de risco e incerteza",decision_analyst,decision_analyst,decision_analyst|data_scientist|statistician,decision_analyst:0.6531|data_scientist:0.6013|statistician:0.5771|data_analyst:0.5554|operations_research_analyst:0.4887,1,1,1.0
TF-IDF,"gosto de tomada de decisao, analise de risco e incerteza",decision_analyst,decision_analyst,decision_analyst|data_scientist|robotics_engineer,decision_analyst:0.3952|data_scientist:0.2031|robotics_engineer:0.1522|statistician:0.1477|operations_research_analyst:0.1425,1,1,1.0
Sentence-BERT,"quero desenvolver APIs, servicos web e sistemas de backend escalaveis",backend_developer,backend_developer,backend_developer|data_engineer|database_administrator,backend_developer:0.7448|data_engineer:0.5818|database_administrator:0.4696|nlp_engineer:0.4689|software_engineer:0.4658,1,1,1.0
TF-IDF,"quero desenvolver APIs, servicos web e sistemas de backend escalaveis",backend_developer,backend_developer,backend_developer|robotics_engineer|pattern_recognition_engineer,backend_developer:0.3709|robotics_engineer:0.0666|pattern_recognition_engineer:0.0620|software_engineer:0.0614|control_engineer:0.0502,1,1,1.0
Sentence-BERT,"quero estudar complexidade, estruturas de dados e algoritmos eficientes",algorithms_specialist,algorithms_specialist,algorithms_specialist|software_engineer|data_mining_specialist,algorithms_specialist:0.7874|software_engineer:0.6789|data_mining_specialist:0.6498|data_analyst:0.6359|data_scientist:0.6060,1,1,1.0
TF-IDF,"quero estudar complexidade, estruturas de dados e algoritmos eficientes",algorithms_specialist,algorithms_specialist,algorithms_specialist|software_engineer|backend_developer,algorithms_specialist:0.3538|software_engineer:0.2570|backend_developer:0.1681|data_engineer:0.1199|database_administrator:0.1154,1,1,1.0
Sentence-BERT,quero treinar redes neurais profundas e modelos generativos,deep_learning_engineer,deep_learning_engineer,deep_learning_engineer|ml_engineer|nlp_engineer,deep_learning_engineer:0.8050|ml_engineer:0.7505|nlp_engineer:0.5373|computer_vision_scientist:0.5056|ai_researcher:0.4772,1,1,1.0
TF-IDF,quero treinar redes neurais profundas e modelos generativos,deep_learning_engineer,deep_learning_engineer,deep_learning_engineer|ml_engineer|computer_vision_scientist,deep_learning_engineer:0.3601|ml_engineer:0.3099|computer_vision_scientist:0.1496|nlp_engineer:0.0912|mlops_engineer:0.0769,1,1,1.0
Sentence-BERT,"quero analisar dados, preparar visualizacoes e apoiar decisoes operacionais",data_analyst,data_analyst,data_analyst|bi_analyst|data_scientist,data_analyst:0.6987|bi_analyst:0.6614|data_scientist:0.6452|data_engineer:0.6231|database_administrator:0.6172,1,1,1.0
TF-IDF,"quero analisar dados, preparar visualizacoes e apoiar decisoes operacionais",data_analyst,bi_analyst,bi_analyst|data_analyst|database_administrator,bi_analyst:0.2164|data_analyst:0.1091|database_administrator:0.0515|data_engineer:0.0504|data_scientist:0.0498,0,1,0.5
